style,Start_Year,End_Year,google,scholar,continent,parent
Abbasid Period,750 CE,1258 CE,3920,,Arabia
Fatimid Period,909 CE,1171 CE,3240,,Arabia
Andalusian Period,711 CE,1492 CE,89900,,Arabia
Seljuk Period,1037 CE,1194 CE,1140,,Arabia
Mamluk Period,1250 CE,1517 CE,795,,Arabia
Timurid Period,1370 CE,1507 CE,538,,Arabia
Ottoman Period,1299 CE,1922 CE,2790,,Arabia
Modern Islamic,1922 CE,present,56500,,Arabia
Indigenous Australian,10000 BCE,1803 CE,1380,,Australian
Polynesian,1000 BCE,1800 CE,7950,,Australian
Pacific Islander,10000 BCE,present,104,,Australian
Contemporary Oceania,1990 CE,present,1020,,Australian
Indigenous Contemporary,1980 CE,present,662,,Australian
Mud Brick,4000 BCE,present,41000,,Africa
Stilt House,6000 BCE,present,10600,,Asia
Blobitecture,1990 CE,present,17300,,International,Postmodern
Googie,1945 CE,1970 CE,150000,,America,Futurism
Igloo,1000 BCE,1800 CE,7820,,America,Medieval
Indo-Islamic,1193 CE,1700 CE,187000,,Asia
Indo-Saracenic,1795 CE,1947 CE,99700,,Asia
Palladian,1700 CE,1800 CE,74200,,Europe,Neoclassical
Prairie,1910 CE,1920 CE,20400,,America
Regency,1800 CE,1815 CE,106000,,Europe,Neoclassical
Moorish,800 CE,1400 CE,396000,,Arabia
Moorish Revival,1812 CE,1930 CE,26100,,International
Ottoman,1299 CE,1922 CE,388000,,Arabia
Contemporary,1950 CE,present,8450000,,International
Greek Revival,1850 CE,1950 CE,178000,,International,Neoclassical
Thai,1000 CE,present,145000,,Asia,
Persian,600 BCE,600 CE,426000,,Arabia
Swahili,800 CE,1800 CE,26000,,Africa
Federation,1950 CE,present,29700,,Australian
Korean,1400 CE,present,160000,,Asia
Indonesian,600 BCE,600 CE,45200,,Asia
Vietnamese,600 CE,present,47400,,Asia
Berber,600 CE,present,23700,,Africa
Nubian,3000 BCE,1500 BCE,10700,,Africa
Indian,300 BCE,present,2000000,,Asia
Federal,1790 CE,1850 CE,80700,,America,Neoclassical
Rationalism,1924 CE,1980 CE,6790,,Europe,Modernism
